
Search terms report,,,,,,,,,,,
All time,,,,,,,,,,,
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Conversions,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %
dr near me,Exact match,Added,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,4.05,12.15,81.82%,100.00%
filipino family practice doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,9.63,9.63,100.00%,100.00%
urologo doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.12,4.12,100.00%,100.00%
dignity urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.6,25.6,100.00%,100.00%
urgent care abcess drainage,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0.5,USD,32.3,32.3,100.00%,100.00%
dignity health medical foundation urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.85,13.85,100.00%,100.00%
weekend urgent care near 440 davis ct sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,6.71,6.71, --, --
mountain view direct urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,1,USD,2.2,2.2,100.00%,100.00%
urgent care on market street,Exact match (close variant),Added,Non-Brand - Urgent Care - SF - Exact - Computers,Urgent Care,1,1,USD,4.48,4.48,0.00%,100.00%
psychiatric urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,2,0,USD,27.5,54.99,100.00%,100.00%
urgent care for nivano physicians,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.26,14.26,100.00%,100.00%
urgent care psychiatry,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.85,13.85,100.00%,100.00%
golden urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.04,7.04, --, --
anthem in network urgent care,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Anthem,1,0,USD,6.89,6.89,100.00%,100.00%
san francisco urology urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,6.38,6.38,100.00%,100.00%
urgent care foot injury,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,12.36,12.36,100.00%,100.00%
emergency doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,9.22,9.22, --, --
ear doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,14.78,14.78,0.00%,100.00%
sex problems doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,8.77,8.77,100.00%,100.00%
carbon health urgent care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,3,0,USD,4.61,13.84,100.00%,100.00%
direct urgent care northbay,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.03,10.03,100.00%,100.00%
urgent care centers,Exact match (close variant),None,Non-Brand - Urgent Care - SF - Exact - Computers,Urgent Care,1,0,USD,9.33,9.33,100.00%,100.00%
primary doctor near me,Exact match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.25,4.25,83.33%,100.00%
urgent care with ct scan,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,1,USD,8.48,8.48,100.00%,100.00%
doctor offices that take cigna insurance,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,7.85,7.85,100.00%,100.00%
urgent care blue sheild sa jose,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - PMM,Blue Shield of California,1,0,USD,12.9,12.9,100.00%,100.00%
urgent care æ™‚é–“,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.95,27.95,100.00%,100.00%
urgent care 94130,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,2.73,2.73,0.00%,100.00%
goldengate urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,1,USD,31.86,63.72,23.68%,100.00%
diverticulitis doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.06,2.06, --, --
urgent care std san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.98,7.98,100.00%,100.00%
urgent care 94102,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,4,0,USD,7.44,29.75,66.67%,100.00%
urgent care book appointment,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.91,15.91,100.00%,100.00%
uregent care millvally,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,27.91,27.91,0.00%,100.00%
urgent care near union square san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,4.36,4.36,100.00%,100.00%
city bay urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,4,0,USD,13.34,53.36,68.89%,88.89%
stanford urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,21,1,USD,18.72,393.1,50.74%,96.78%
in network urgent care anthem blue cross,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.15,7.15,100.00%,100.00%
family doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,11.61,23.21,69.23%,100.00%
carbon medical urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,1.84,3.68,100.00%,100.00%
tricare urgent care finder,Phrase match,None,Non-Brand - Urgent Care - SF - PMM,Tricare,2,0,USD,9.9,19.79,100.00%,100.00%
el camno urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,7.77,7.77,100.00%,100.00%
can an urgent care doctor send a prescription anywhere in the country,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.82,27.82,100.00%,100.00%
urgent cares in the 94131 area of calif,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,2.83,2.83, --, --
mountain view urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,5,1,USD,10.72,53.62,100.00%,100.00%
urgent care novato,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,18.2,18.2,0.00%,100.00%
24x7 urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.63,27.63,100.00%,100.00%
urgent care for no insurance,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,7.78,7.78,100.00%,100.00%
urgent care pediatric office,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.52,27.52,100.00%,100.00%
urgent care near de anza college community,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,13.54,13.54,100.00%,100.00%
depression urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.45,27.45,100.00%,100.00%
collective health in network urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.43,13.43,0.00%,100.00%
direct urgent care 2920 telegraph ave,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,4.37,4.37,100.00%,100.00%
urgent care centers near serramonte,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,1,USD,16.66,16.66,100.00%,100.00%
urgentcare palo alto,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,11.94,11.94, --, --
when do doctors offices open,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,12.72,12.72,100.00%,100.00%
henry lin direct urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,23.37,23.37,100.00%,100.00%
i 693 doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,5.91,5.91,0.00%,100.00%
anthem epo urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.95,27.95,100.00%,100.00%
94040 urgent care,Exact match,Added,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,0.23,0.23, --, --
sisters of mercy urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,1.45,1.45,100.00%,100.00%
ms dr near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,19.43,19.43,100.00%,100.00%
doctor office in oakland ca,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,10.18,10.18,100.00%,100.00%
dusk to dawn urgent care lynwood,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.12,15.12,100.00%,100.00%
hill physicians urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,11.13,11.13,100.00%,100.00%
å®¶é•¿ å» urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.91,27.91,100.00%,100.00%
urgent care ultrasound,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,6.51,19.52,33.33%,100.00%
urgent care castro sf,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,5.87,5.87,100.00%,100.00%
carbon urgent care sfo,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.3,13.3,100.00%,100.00%
does blue cross cover urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.94,12.94,100.00%,100.00%
afterours urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,6.94,6.94,100.00%,100.00%
mills peninsula urget xare wait time,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.8,12.8,100.00%,100.00%
urgetn care blue cross blue shield michigan,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.05,15.05,100.00%,100.00%
brown and toland urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,12.66,12.66,85.71%,100.00%
urgent care el camino,Exact match,Added,Branded - ElCamino - CU,Urgent Care,1,0,USD,15,15,100.00%,100.00%
direct urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,61,7.37,USD,3.4,207.55,99.50%,100.00%
urgentcare 94158,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,13.17,13.17,100.00%,100.00%
urgent care san mateo,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,11.67,11.67,70.00%,100.00%
urgent care bush and hyde st,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,20.85,20.85,100.00%,100.00%
urgent care sacramemto,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,19.14,19.14,100.00%,100.00%
kasier ureg t care san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,8.73,8.73,100.00%,100.00%
urgent care near 1217 alemany blvd san francisco ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,8.99,17.98,0.00%,100.00%
urgent care near 94608,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.34,14.34,100.00%,100.00%
urgent care sf open now,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,9.93,29.78,100.00%,100.00%
san fran urgent care fishermans wharf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,21.29,21.29,100.00%,100.00%
urgent care near 183rd country club drive,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,21.45,21.45,100.00%,100.00%
uti urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.14,14.14,100.00%,100.00%
strawberry village urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.26,8.26,28.57%,100.00%
sf urgent xarw,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,16.78,16.78,0.00%,100.00%
355 869 3151 phone urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,7.59,7.59,100.00%,100.00%
urgent care by fisherman's wharf san francisco ca,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,17.85,35.7,100.00%,100.00%
ucsf urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.99,13.99,10.13%,98.73%
urgent care on cole valley sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.23,15.23,0.00%,100.00%
st agnes urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,6.24,6.24,100.00%,100.00%
paychiatric urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,15.14,15.14,100.00%,100.00%
urgent care in daly city,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.28,12.28,100.00%,100.00%
urgent care lakeshore,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.89,14.89,100.00%,100.00%
urgent care thag accelts medical,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,1,USD,19.21,19.21,100.00%,100.00%
urgent care san francisco general 23rd and potral urgent care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.31,13.31,100.00%,100.00%
urgent care fremont ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,19.45,19.45,100.00%,100.00%
urgent care kidney infection,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.3,9.3,0.00%,100.00%
urgent care cleveland clinic,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,20.21,20.21,100.00%,100.00%
urgent care clinic san francisco,Exact match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,1.79,1.79,100.00%,100.00%
urgent care clinic san francisco,Broad match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,14.98,14.98,100.00%,100.00%
john miit urfent carw,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,18.01,18.01,100.00%,100.00%
direct urgent care on telegraph ave berkeley,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,1,USD,11.66,11.66,100.00%,100.00%
urgent care mountain view california,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Exact - Mobile,Urgent Care,1,1,USD,21.84,21.84,100.00%,100.00%
urgent care near haight ash,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,17.97,35.94,100.00%,100.00%
urgent care carbon health,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,9.11,18.22,100.00%,100.00%
university of the pacific urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.79,11.79,100.00%,100.00%
usf urgent care offices,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,19.86,19.86,100.00%,100.00%
free urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.55,8.55,100.00%,100.00%
cost of first urgent care visit,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,19.42,19.42,100.00%,100.00%
san francisco urget care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,2.86,2.86,0.00%,100.00%
erick miranda urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,20.67,41.34,100.00%,100.00%
what's the number for urgent care atlanticare urgent care in hackettstown,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,14.74,14.74,100.00%,100.00%
mountain view urgent care,Exact match,Added,Non-Brand - Urgent Care - MV - Exact - Mobile,Urgent Care,7,0,USD,16.94,118.56,97.87%,100.00%
urgent care around me,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,8.63,17.26,100.00%,100.00%
flu shot in urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.97,8.97,100.00%,100.00%
urgent care oakland,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,1.3,1.3, --, --
can you get tested for hiv at urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,17.09,17.09,100.00%,100.00%
booking appointment at urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,5.93,11.86,100.00%,100.00%
urgent care prescriptions,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.37,12.37,100.00%,100.00%
urfgent care market street san francisco,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.95,13.95,100.00%,100.00%
san leandro urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.81,6.81,25.00%,100.00%
urgent cate in cow hallow,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,3,0,USD,14.8,44.4,100.00%,100.00%
are urgent care centers open on holidays,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15,15,100.00%,100.00%
urgent care san francisco fishermans wharf,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.65,9.65,100.00%,100.00%
blue shield ppo urgent carr,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.04,13.04,100.00%,100.00%
urgent care 94133,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,4.49,4.49,100.00%,100.00%
urgent care jacksonville florida,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.2,7.2,100.00%,100.00%
does urgent care take medicc,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.71,8.71,100.00%,100.00%
where's the nearest urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.67,15.67,100.00%,100.00%
oncentra urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.61,11.61,100.00%,100.00%
what do urgent care centers treat,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,11.19,11.19,100.00%,100.00%
palo alto medical foundation urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,2.05,2.05,0.00%,100.00%
urgent care dermatology,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.54,9.54,100.00%,100.00%
urgent care san francisco orange building,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,11.22,22.44,0.00%,100.00%
california urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10,10,100.00%,100.00%
urgent care irving st san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,17.92,17.92,100.00%,100.00%
